Symbol,Sector,Daily,Weekly,Monthly
BORORENEW.NS,Industrial Products,NO,NO,NO
BOROSCI.NS,Industrial Products,NO,NO,NO
BOSCH-HCIL.NS,Consumer Durables,NO,NO,NO
BOSCHLTD.NS,Auto Components,NO,NO,NO
BOSS.NS,Industrial Manufacturing,NO,NO,NO
BPCL.NS,Petroleum Products,NO,NO,NO
BPL.NS,Consumer Durables,NO,NO,NO
BRACEPORT.NS,Transport Services,NO,NO,NO
BRANDMAN.NS,Consumer Durables,NO,NO,NO
BRIGADE.NS,Realty,NO,NO,NO
BRIGHOTEL.NS,Leisure Services,NO,NO,NO
BRITANNIA.NS,Food Products,NO,NO,NO
BRNL.NS,Construction,NO,NO,NO
BROOKS.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
BSE.NS,Capital Markets,NO,NO,NO
BSHSL.NS,Agricultural Food & other Products,NO,NO,NO
BSL.NS,Textiles & Apparels,NO,NO,NO
BSOFT.NS,IT - Software,NO,NO,NO
BTML.NS,Entertainment,NO,NO,NO
BUILDPRO.NS,Retailing,NO,NO,NO
BULKCORP.NS,Industrial Products,NO,NO,NO
BUTTERFLY.NS,Consumer Durables,NO,NO,NO
BVCL.NS,Cement & Cement Products,NO,NO,NO
BYKE.NS,Leisure Services,NO,NO,NO
C2C.NS,Aerospace & Defense,NO,NO,NO
CADSYS.NS,Commercial Services & Supplies,NO,NO,NO
CALSOFT.NS,IT - Software,NO,NO,NO
CAMLINFINE.NS,Chemicals & Petrochemicals,NO,NO,NO
CAMPUS.NS,Consumer Durables,NO,NO,NO
CAMS.NS,Capital Markets,NO,NO,NO
CANARYS.NS,IT - Software,NO,NO,NO
CANBK.NS,Banks,NO,NO,NO
CANFINHOME.NS,Finance,NO,NO,NO
CANHLIFE.NS,Insurance,NO,NO,NO
CANTABIL.NS,Textiles & Apparels,NO,NO,NO
CAPACITE.NS,Construction,NO,NO,NO
CAPILLARY.NS,IT - Software,NO,NO,NO
CAPINVIT.NS,Construction,NO,NO,NO
CAPITALSFB.NS,Banks,NO,NO,NO
CAPLIPOINT.NS,Pharmaceuticals & Biotechnology,NO,NO,NO
CAPTRUST.NS,Finance,NO,NO,NO
CARBORUNIV.NS,Industrial Products,NO,NO,NO
CARERATING.NS,Capital Markets,NO,NO,NO
CARRARO.NS,Auto Components,NO,NO,NO
CARTRADE.NS,Retailing,NO,NO,NO
CARYSIL.NS,Consumer Durables,NO,NO,NO
CASTROLIND.NS,Petroleum Products,NO,NO,NO
CBAZAAR.NS,Retailing,NO,NO,NO
CCAVENUE.NS,Financial Technology (Fintech),NO,NO,NO
CCCL.NS,Realty,NO,NO,NO
CCHHL.NS,Leisure Services,NO,NO,NO
CCL.NS,Agricultural Food & other Products,NO,NO,NO
CDSL.NS,Capital Markets,NO,NO,NO
CEATLTD.NS,Auto Components,NO,NO,NO
CEDAAR.NS,Textiles & Apparels,NO,NO,NO
CEIGALL.NS,Construction,NO,NO,NO
CEINSYS.NS,IT - Software,NO,NO,NO
CELEBRITY.NS,Textiles & Apparels,NO,NO,NO
CELLECOR.NS,Consumer Durables,NO,NO,NO
CELLO.NS,Consumer Durables,NO,NO,NO
CELLPOINT.NS,Retailing,NO,NO,NO
CEMPRO.NS,Construction,NO,NO,NO
CENTENKA.NS,Textiles & Apparels,NO,NO,NO
CENTEXT.NS,Industrial Products,NO,NO,NO
CENTRALBK.NS,Banks,NO,NO,NO
CENTRUM.NS,Finance,NO,NO,NO
CENTUM.NS,Industrial Manufacturing,NO,NO,NO
CENTURYPLY.NS,Consumer Durables,NO,NO,NO
CERA.NS,Consumer Durables,NO,NO,NO
CEREBRAINT.NS,IT - Hardware,NO,NO,NO
CESC.NS,Power,NO,NO,NO
CEWATER.NS,Other Utilities,NO,NO,NO
CGCL.NS,Finance,NO,NO,NO
CGPOWER.NS,Electrical Equipment,NO,NO,NO
CGRAPHICS.NS,Industrial Products,NO,NO,NO
CHALET.NS,Leisure Services,NO,NO,NO
CHAMBLFERT.NS,Fertilizers & Agrochemicals,NO,NO,NO
