Symbol,Sector
CELEBRITY.NS,Textiles & Apparels
CELLECOR.NS,Consumer Durables
CELLO.NS,Consumer Durables
CELLPOINT.NS,Retailing
CEMPRO.NS,Construction
CENTENKA.NS,Textiles & Apparels
CENTEXT.NS,Industrial Products
CENTRALBK.NS,Banks
CENTRUM.NS,Finance
CENTUM.NS,Industrial Manufacturing
CENTURYPLY.NS,Consumer Durables
CERA.NS,Consumer Durables
CEREBRAINT.NS,IT - Hardware
CESC.NS,Power
CEWATER.NS,Other Utilities
CGCL.NS,Finance
CGPOWER.NS,Electrical Equipment
CGRAPHICS.NS,Industrial Products
CHALET.NS,Leisure Services
CHAMBLFERT.NS,Fertilizers & Agrochemicals
CHAMUNDA.NS,Commercial Services & Supplies
CHANDAN.NS,Healthcare Services
CHAVDA.NS,Construction
CHEMBOND.NS,Chemicals & Petrochemicals
CHEMBONDCH.NS,Chemicals & Petrochemicals
CHEMCON.NS,Chemicals & Petrochemicals
CHEMFAB.NS,Chemicals & Petrochemicals
CHEMPLASTS.NS,Chemicals & Petrochemicals
CHENNPETRO.NS,Petroleum Products
CHETANA.NS,Printing & Publication
CHEVIOT.NS,"Paper, Forest & Jute Products"
CHOICEIN.NS,Finance
CHOLAFIN.NS,Finance
CHOLAHLDNG.NS,Finance
CIEINDIA.NS,Auto Components
CIFL.NS,Finance
CIGNITITEC.NS,IT - Services
CINELINE.NS,Entertainment
CINEVISTA.NS,Entertainment
CIPLA.NS,Pharmaceuticals & Biotechnology
CKKRETAIL.NS,Agricultural Food & other Products
CLASSICEIL.NS,Industrial Products
CLCIND.NS,Textiles & Apparels
CLEAN.NS,Chemicals & Petrochemicals
CLEANMAX.NS,Power
CLEDUCATE.NS,Other Consumer Services
CLSEL.NS,Agricultural Food & other Products
CLSL.NS,Fertilizers & Agrochemicals
CMICABLES.NS,Industrial Products
CMNL.NS,Ferrous Metals
CMPDI.NS,Construction
CMRSL.NS,Media
CMSINFO.NS,Commercial Services & Supplies
CNL.NS,Commercial Services & Supplies
COALINDIA.NS,Consumable Fuels
COASTCORP.NS,Food Products
COCHINSHIP.NS,Industrial Manufacturing
COFFEEDAY.NS,Leisure Services
COFORGE.NS,IT - Software
COHANCE.NS,Pharmaceuticals & Biotechnology
COLPAL.NS,Personal Products
COMMITTED.NS,Transport Services
COMPINFO.NS,IT - Hardware
COMPUSOFT.NS,Other Consumer Services
COMSYN.NS,Industrial Products
CONCOR.NS,Transport Services
CONCORDBIO.NS,Pharmaceuticals & Biotechnology
CONFIPET.NS,Gas
CONNPLEX.NS,Entertainment
CONSOFINVT.NS,Finance
CONTI.NS,Commercial Services & Supplies
CONTROLPR.NS,IT - Hardware
COOLCAPS.NS,Industrial Products
CORALFINAC.NS,Commercial Services & Supplies
CORDSCABLE.NS,Industrial Products
COROMANDEL.NS,Fertilizers & Agrochemicals
CORONA.NS,Pharmaceuticals & Biotechnology
COSMOFIRST.NS,Industrial Products
COUNCODOS.NS,Realty
CPCAP.NS,Finance
CPEDU.NS,Other Consumer Services
CPPLUS.NS,Industrial Manufacturing
CPS.NS,Textiles & Apparels
CRAFTSMAN.NS,Auto Components
CRAMC.NS,Capital Markets
CRAYONS.NS,Media
CREATIVEYE.NS,Entertainment
CREDITACC.NS,Finance
CREST.NS,Finance
CRISIL.NS,Finance
CRIZAC.NS,Retailing
CROMPTON.NS,Consumer Durables
CROWN.NS,Industrial Manufacturing
CSBBANK.NS,Banks
CSLFINANCE.NS,Finance
CSSL.NS,Commercial Services & Supplies
CTE.NS,IT - Software
CUB.NS,Banks
CUBEINVIT.NS,Transport Infrastructure
CUBEXTUB.NS,Industrial Products
CUDML.NS,Media
CUMMINSIND.NS,Industrial Products
CUPID.NS,Personal Products
CURAA.NS,IT - Software
CURIS.NS,Pharmaceuticals & Biotechnology
CURRENT.NS,Construction
CYBERMEDIA.NS,Media
CYBERTECH.NS,IT - Software
CYIENT.NS,IT - Services
CYIENTDLM.NS,Industrial Manufacturing
DABUR.NS,Personal Products
DALBHARAT.NS,Cement & Cement Products
DALMIASUG.NS,Agricultural Food & other Products
DAMCAPITAL.NS,Capital Markets
DAMODARIND.NS,Textiles & Apparels
DANGEE.NS,Food Products
DANISH.NS,Electrical Equipment
DATAMATICS.NS,IT - Services
DATAPATTNS.NS,Aerospace & Defense
DAVANGERE.NS,Diversified FMCG
DBCORP.NS,Media
DBEIL.NS,Construction
DBL.NS,Construction
DBOL.NS,Agricultural Food & other Products
DBREALTY.NS,Leisure Services
DBSTOCKBRO.NS,Capital Markets
DCAL.NS,Pharmaceuticals & Biotechnology
DCBBANK.NS,Banks
DCCL.NS,Finance
DCG.NS,Industrial Products
DCI.NS,IT - Hardware
DCM.NS,IT - Services
DCMFINSERV.NS,Finance
DCMNVL.NS,Textiles & Apparels
DCMSHRIRAM.NS,Diversified
DCMSIL.NS,Textiles & Apparels
DCMSRIND.NS,Agricultural Food & other Products
DCW.NS,Chemicals & Petrochemicals
DCXINDIA.NS,Aerospace & Defense
DDEVPLSTIK.NS,Chemicals & Petrochemicals
DECCANCE.NS,Cement & Cement Products
DECCANTRAN.NS,Transport Services
DEEDEV.NS,Industrial Manufacturing
DEEM.NS,Industrial Products
DEEPAKFERT.NS,Chemicals & Petrochemicals
DEEPAKNTR.NS,Chemicals & Petrochemicals
DEEPINDS.NS,Oil
DELAPLEX.NS,IT - Software
DELHIVERY.NS,Transport Services
DELPHIFX.NS,Finance
DELTACORP.NS,Leisure Services
DELTAMAGNT.NS,Industrial Products
DELTIC.NS,Automobiles
DEN.NS,Entertainment
DENEERS.NS,Industrial Products
DENORA.NS,Industrial Products
DENTA.NS,Other Utilities
DENTALKART.NS,Healthcare Equipment & Supplies
DEVIT.NS,IT - Services
DEVX.NS,Commercial Services & Supplies
DEVYANI.NS,Leisure Services
DGCONTENT.NS,Media
DHAMPURSUG.NS,Agricultural Food & other Products
DHANBANK.NS,Banks
DHANLAXMI.NS,Agricultural Food & other Products
DHANUKA.NS,Fertilizers & Agrochemicals
DHARAN.NS,Realty
DHARARAIL.NS,Commercial Services & Supplies
DHARIWAL.NS,Chemicals & Petrochemicals
DHARMAJ.NS,Fertilizers & Agrochemicals
DHRUV.NS,Commercial Services & Supplies
DHTL.NS,Other Consumer Services
DHUNINV.NS,Finance
DIACABS.NS,Electrical Equipment
DIAMINESQ.NS,Chemicals & Petrochemicals
DIAMONDYD.NS,Food Products
DICIND.NS,Chemicals & Petrochemicals
DIFFNKG.NS,Industrial Products
DIGIDRIVE.NS,Retailing
DIGIKORE.NS,Entertainment
DIGISPICE.NS,IT - Services
DIGITIDE.NS,IT - Services
DIGJAMLMTD.NS,Textiles & Apparels
DIL.NS,Leisure Services
DIRL.NS,Realty
DISHTV.NS,Entertainment
DIVGIITTS.NS,Auto Components
DIVINEHIRA.NS,Consumer Durables
DIVISLAB.NS,Pharmaceuticals & Biotechnology
DIVYADHAN.NS,Textiles & Apparels
DIXON.NS,Consumer Durables
DJML.NS,Transport Services
DKEGL.NS,Industrial Products
DLF.NS,Realty
DLINKINDIA.NS,IT - Hardware
DMART.NS,Retailing
DMCC.NS,Chemicals & Petrochemicals
DNAMEDIA.NS,Media
DODLA.NS,Food Products
DOLATALGO.NS,Capital Markets
DOLLAR.NS,Textiles & Apparels
DOLLEX.NS,Agricultural Food & other Products
DOLPHIN.NS,Oil
DOMS.NS,Household Products
DONEAR.NS,Textiles & Apparels
DPABHUSHAN.NS,Consumer Durables
DPEL.NS,Industrial Products
DPSCLTD.NS,Power
DPWIRES.NS,Industrial Products
DRCSYSTEMS.NS,IT - Software
DREAMFOLKS.NS,Transport Infrastructure
DREDGECORP.NS,Engineering Services
DRONE.NS,Other Consumer Services
DRREDDY.NS,Pharmaceuticals & Biotechnology
DRSCARGO.NS,Transport Services
DRSDILIP.NS,Transport Services
DSFCL.NS,Chemicals & Petrochemicals
DSSL.NS,IT - Services
DTIL.NS,Agricultural Food & other Products
DTL.NS,Commercial Services & Supplies
DUCOL.NS,Chemicals & Petrochemicals
DUCON.NS,Industrial Manufacturing
DUGLOBAL.NS,Leisure Services
DURLAX.NS,Consumer Durables
DVL.NS,Diversified
DWARKESH.NS,Agricultural Food & other Products
DYCL.NS,Industrial Products
DYNAMATECH.NS,Industrial Manufacturing
DYNAMIC.NS,Commercial Services & Supplies
DYNPRO.NS,Chemicals & Petrochemicals
E2E.NS,IT - Services
E2ERAIL.NS,Construction
EASEMYTRIP.NS,Leisure Services
EASTSILK.NS,Textiles & Apparels
EBGNG.NS,IT - Hardware
ECLERX.NS,Commercial Services & Supplies
ECOLINE.NS,Industrial Products
ECOSMOBLTY.NS,Transport Services
EDELWEISS.NS,Finance
EDUCOMP.NS,Other Consumer Services
EEPL.NS,Electrical Equipment
EFACTOR.NS,Other Consumer Services
EFCIL.NS,Commercial Services & Supplies
EFFWA.NS,Other Utilities
EFORCE.NS,Electrical Equipment
EICHERMOT.NS,Automobiles
EIDPARRY.NS,Food Products
EIEL.NS,Other Utilities
EIFFL.NS,Food Products
EIHAHOTELS.NS,Leisure Services
EIHOTEL.NS,Leisure Services
EIMCOELECO.NS,Industrial Manufacturing
EKC.NS,Industrial Manufacturing
ELDEHSG.NS,Realty
ELECON.NS,Electrical Equipment
ELECTCAST.NS,Industrial Products
ELECTHERM.NS,Industrial Products
ELGIEQUIP.NS,Industrial Products
ELGIRUBCO.NS,Industrial Products
ELGNZ.NS,Commercial Services & Supplies
ELIN.NS,Consumer Durables
ELLEN.NS,Chemicals & Petrochemicals
EMAMILTD.NS,Personal Products
EMAMIPAP.NS,"Paper, Forest & Jute Products"
EMAMIREAL.NS,Realty
EMAPARTNER.NS,Commercial Services & Supplies
EMBASSY.NS,Realty
EMBDL.NS,Realty
